juegos,prueba,nombre,país,posición,tiempo,edad
"Pekín 2008",800 metros,"Pamela Jelimo",Kenia,1,00:01:54.87,19
"Pekín 2008",800 metros,"Janeth Jepkosgei",Kenia,2,00:01:56.07,25
"Pekín 2008",800 metros,"Hasna Benhassi",Marruecos,3,00:01:56.73,30
"Pekín 2008",1500 metros,"Nancy Langat",Kenia,1,00:04:00.23,27
"Pekín 2008",1500 metros,"Iryna Lishchynska",Ucrania,2,00:04:01.63,32
"Pekín 2008",1500 metros,"Nataliya Tobias",Ucrania,3,00:04:01.78,28
"Pekín 2008",3000 metros obstáculos,"Gulnara Samitova-Galkina",Rusia,1,00:08:58.81,30
"Pekín 2008",3000 metros obstáculos,"Eunice Jepkorir",Kenia,2,00:09:07.41,26
"Pekín 2008",3000 metros obstáculos,"Tatyana Petrova",Rusia,3,00:09:12.33,25
"Pekín 2008",5000 metros,"Tirunesh Dibaba",Etiopía,1,00:15:41.40,23
"Pekín 2008",5000 metros,"Meseret Defar",Etiopía,2,00:15:44.12,25
"Pekín 2008",5000 metros,"Sylvia Kibet",Kenia,3,00:15:44.96,24
"Pekín 2008","10000 metros","Tirunesh Dibaba",Etiopía,1,00:29:54.66,23
"Pekín 2008","10000 metros","Shalane Flanagan",Estados Unidos,2,00:30:22.22,27
"Pekín 2008","10000 metros","Linet Masai",Kenia,3,00:30:26.50,19
"Pekín 2008",Maratón,Constantina Tomescu,Rumania,1,02:26:44,38
"Pekín 2008",Maratón,"Catherine Ndereba",Kenia,2,02:27:06,36
"Pekín 2008",Maratón,Zhou Chunxiu,China,3,02:27:07,30
"Londres 2012",800 metros,Caster Semenya,Sudáfrica,1,00:01:57.23,21
"Londres 2012",800 metros,"Ekaterina Poistogova",Rusia,2,00:01:57.53,21
"Londres 2012",800 metros,"Pamela Jelimo",Kenia,3,00:01:57.59,23
"Londres 2012",1500 metros,"Maryam Yusuf Jamal",Baréin,1,00:04:10.74,28
"Londres 2012",1500 metros,"Tatyana Tomashova",Rusia,2,00:04:10.90,37
"Londres 2012",1500 metros,"Abeba Aregawi",Etiopía,3,00:04:11.03,22
"Londres 2012",3000 metros obstáculos,Habiba Ghribi,Túnez,1,00:09:08.37,28
"Londres 2012",3000 metros obstáculos,"Sofia Assefa",Etiopía,2,00:09:09.84,25
"Londres 2012",3000 metros obstáculos,"Milcah Chemos Cheywa",Kenia,3,00:09:09.88,26
"Londres 2012",5000 metros,"Meseret Defar",Etiopía,1,00:15:04.25,29
"Londres 2012",5000 metros,"Vivian Cheruiyot",Kenia,2,00:15:04.73,29
"Londres 2012",5000 metros,"Tirunesh Dibaba",Etiopía,3,00:15:05.15,27
"Londres 2012","10000 metros","Tirunesh Dibaba",Etiopía,1,00:30:20.75,27
"Londres 2012","10000 metros","Sally Kipyego",Kenia,2,00:30:26.37,27
"Londres 2012","10000 metros","Vivian Cheruiyot",Kenia,3,00:30:30.44,29
"Londres 2012",Maratón,"Tiki Gelana",Etiopía,1,02:23:07,25
"Londres 2012",Maratón,"Priscah Jeptoo",Kenia,2,02:23:12,28
"Londres 2012",Maratón,"Tatyana Petrova",Rusia,3,02:23:29,29
"Río 2016",800 metros,"Caster Semenya",Sudáfrica,1,00:01:55.28,25
"Río 2016",800 metros,Francine Niyonsaba,Burundi,2,00:01:56.49,23
"Río 2016",800 metros,"Margaret Wambui",Kenia,3,00:01:56.89,21
"Río 2016",1500 metros,"Faith Kipyegon",Kenia,1,00:04:08.92,22
"Río 2016",1500 metros,"Genzebe Dibaba",Etiopía,2,00:04:10.27,25
"Río 2016",1500 metros,"Jennifer Simpson",Estados Unidos,3,00:04:10.53,30
"Río 2016",3000 metros obstáculos,"Ruth Jebet",Baréin,1,00:08:59.75,20
"Río 2016",3000 metros obstáculos,"Hyvin Jepkemoi",Kenia,2,00:09:07.12,24
"Río 2016",3000 metros obstáculos,"Emma Coburn",Estados Unidos,3,00:09:07.63,26
"Río 2016",5000 metros,"Vivian Cheruiyot",Kenia,1,00:14:26.17,33
"Río 2016",5000 metros,"Hellen Obiri",Kenia,2,00:14:29.77,27
"Río 2016",5000 metros,"Almaz Ayana",Etiopía,3,00:14:33.59,25
"Río 2016","10000 metros","Almaz Ayana",Etiopía,1,00:29:17.45,25
"Río 2016","10000 metros","Vivian Cheruiyot",Kenia,2,00:29:32.53,33
"Río 2016","10000 metros","Tirunesh Dibaba",Etiopía,3,00:29:42.56,31
"Río 2016",Maratón,"Jemima Sumgong",Kenia,1,02:24:04,32
"Río 2016",Maratón,"Eunice Kirwa",Baréin,2,02:24:13,32
"Río 2016",Maratón,"Mare Dibaba",Etiopía,3,02:24:30,27
"Tokio 2020",800 metros,"Athing Mu",Estados Unidos,1,00:01:55.21,19
"Tokio 2020",800 metros,"Keely Hodgkinson",Reino Unido,2,00:01:55.88,19
"Tokio 2020",800 metros,"Raevyn Rogers",Estados Unidos,3,00:01:56.81,25
"Tokio 2020",1500 metros,"Faith Kipyegon",Kenia,1,00:03:53.11,27
"Tokio 2020",1500 metros,"Laura Muir",Reino Unido,2,00:03:54.50,28
"Tokio 2020",1500 metros,"Sifan Hassan",Países Bajos,3,00:03:55.86,28
"Tokio 2020",3000 metros obstáculos,"Peruth Chemutai",Uganda,1,00:09:01.45,22
"Tokio 2020",3000 metros obstáculos,"Courtney Frerichs",Estados Unidos,2,00:09:04.79,28
"Tokio 2020",3000 metros obstáculos,"Hyvin Jepkemoi",Kenia,3,00:09:05.39,29
"Tokio 2020",5000 metros,"Sifan Hassan",Países Bajos,1,00:14:36.79,28
"Tokio 2020",5000 metros,"Hellen Obiri",Kenia,2,00:14:38.36,32
"Tokio 2020",5000 metros,"Gudaf Tsegay",Etiopía,3,00:14:38.87,24
"Tokio 2020","10000 metros","Sifan Hassan",Países Bajos,1,00:29:55.32,28
"Tokio 2020","10000 metros","Kalkidan Gezahegne",Baréin,2,00:29:56.18,30
"Tokio 2020","10000 metros","Letesenbet Gidey",Etiopía,3,00:30:01.72,23
"Tokio 2020",Maratón,"Peres Jepchirchir",Kenia,1,02:27:20,28
"Tokio 2020",Maratón,"Brigid Kosgei",Kenia,2,02:27:36,27
"Tokio 2020",Maratón,"Molly Seidel",Estados Unidos,3,02:27:46,27