Titulo_cancion,Album,Estatus,Veces_cantada,Fecha_primera_presentacion,Lugar_primera_presentacion,Latitud_primera_presentacion,Longitud_primera_presentacion,Fecha_segunda_presentacion,Lugar_segunda_presentacion,Latitud  segunda presentacion,Longitud segunda presentacion,Fecha_tercera_presentacion,Lugar_tercera_presentacion,Latitud_tercera_presentacion,Longitud_tercera_presentacion
Tim McGraw,Taylor Swift,Ocupada,1,03-17,State Farm Stadium Glendale AZ USA,-112.26256565900226,33.527876978609626,null,null,null,null,null,null,null,null
Picture To Burn,Taylor Swift,Ocupada,1,07-14,Empower Field at Mile High Denver CO USA,-105.02005450000006,39.74383687816774,null,null,null,null,null,null,null,null
Teardrops On My Guitar,Taylor Swift,Ocupada,1,05-05,Nissan Stadium Nashville TN USA,-86.77118825396796,36.16658318496833,null,null,null,null,null,null,null,null
A Place In This World,Taylor Swift,Ocupada,1,04-22,NGR Stadium Houston TX USA,-95.40592071527006, 29.681241296536044,null,null,null,null,null,null,null,null
Cold As You,Taylor Swift,Ocupada,1,04-23,NGR Stadium Houston TX USA,-95.40592071527006, 29.681241296536044,null,null,null,null,null,null,null,null
The Outside,Taylor Swift,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
Tied Together With A Smile,Taylor Swift,Ocupada,1,07-23,Lumen Field Seattle WA USA,-122.32964978042607,47.739335607595535,null,null,null,null,null,null,null,null
Stay Beautiful,Taylor Swift,Ocupada,1,11-17,Olímpico Nilton Santos Rio de Janeiro Brasil,-43.292591136245846,-22.89324820934911,null,null,null,null,null,null,null,null
Should've Said No,Taylor Swift,Ocupada,1,05-19,Gillette Stadium Foxborough MA USA,-71.26434789814675,42.09107628759776,null,null,null,null,null,null,null,null
Mary's Song (Oh My My My),Taylor Swift,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
Our Song,Taylor Swift,Ocupada,2,03-24,Allegiant Stadium Las Vegas NV USA,-115.18341678465555,36.09354412130051,08-04,SoFi Stadium Los Angeles CA USA,-118.3389436892382,33.953274872376625,null,null,null,null
I'm Only Me When I'm With You,Taylor Swift,Ocupada,1,06-30,Paycor Stadium Cincinnati OH USA,-84.51624912162605,39.09553203477549,null,null,null,null,null,null,null,null
Invisible,Taylor Swift,Ocupada,1,05-20,Gillette Stadium Foxborough MA USA,-71.26434789814675,42.09107628759776,null,null,null,null,null,null,null,null
A Perfectly Good Heart,Taylor Swift,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
Fearless,Fearless TV,Setlist,,03-17,State Farm Stadium Glendale AZ USA,null,null,null,null,null,null,null,null,null,null
Fifteen,Fearless TV,Ocupada,1,05-06,Nissan Stadium Nashville TN USA,-86.77118825396796,36.16658318496833,null,null,null,null,null,null,null,null
Love Story,Fearless TV,Setlist,,03-17,State Farm Stadium Glendale AZ USA,null,null,null,null,null,null,null,null,null,null
Hey Stephen,Fearless TV,Ocupada,1,05-14,Lincoln Financial Field Phuladelphia PA USA,-75.16735629629618,39.90086100056422,null,null,null,null,null,null,null,null
White Horse ,Fearless TV,Ocupada,1,03-25,Allegiant Stadium Las Vegas NV USA,-115.18341678465555,36.09354412130051,null,null,null,null,null,null,null,null
You Belong With Me,Fearless TV,Setlist,,03-17,State Farm Stadium Glendale AZ USA,null,null,null,null,null,null,null,null,null,null
Breath (feat. Colbie Caillat),Fearless TV,Ocupada,1,06-10,Ford Field Detroit MI USA,-83.04544406745778,42.3399749651698,null,null,null,null,null,null,null,null
Tell Me Why,Fearless TV,Ocupada,1,08-25,Foro Sol Ciudad de Mexico México,-99.09575394047495, 19.40503927590352,null,null,null,null,null,null,null,null
You're Not Sorry,Fearless TV,Ocupada,1,04-21,NGR Stadium Houston TX USA,-95.40592071527006, 29.681241296536044,null,null,null,null,null,null,null,null
The Way I Loved You,Fearless TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
Forever & Always,Fearless TV,Ocupada,1,05-13,Lincoln Financial Field Phuladelphia PA USA,-75.16735629629618,39.90086100056422,null,null,null,null,null,null,null,null
The Best Day,Fearless TV,Ocupada,1,05-14,Lincoln Financial Field Phuladelphia PA USA,-75.16735629629618,39.90086100056422,null,null,null,null,null,null,null,null
Change,Fearless TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
Jump Then Fall,Fearless TV,Ocupada,1,04-02,AT&T Stadium Arlington TX USA,-97.09265501719679,32.74788153537773,null,null,null,null,null,null,null,null
Untouchable,Fearless TV,Ocupada,1,11-25,Estadio Allianz Parque São Paulo Brasil,-46.678525415344126,-23.527590429244412,null,null,null,null,null,null,null,null
Come In With The Rain,Fearless TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
Superstar,Fearless TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
The Other Side Of The Door,Fearless TV,Ocupada,1,04-28,Mercedes-Benz Stadium Atlanta GA USA,-84.40076948280304,33.75534598096225,null,null,null,null,null,null,null,null
Today Was a Fairytale,Fearless TV,Ocupada,1,04-22,NGR Stadium Houston TX USA,-95.40592071527006, 29.681241296536044,null,null,null,null,null,null,null,null
You All Over Me (feat. Maren Morris)(From the Vault),Fearless TV,Ocupada,1,06-03,Soldier Field Chicago IL USA,-87.61671972883586,41.8624806117686,null,null,null,null,null,null,null,null
Mr. Perfectly Fine (From the Vault),Fearless TV,Ocupada,1,06-16,Acrisure Stadium Pittsburgh PA USA,-80.01556896560628,40.44660677582141,null,null,null,null,null,null,null,null
We Were Happy (From the Vault),Fearless TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
That's When (feat. Keith Urban) (From the Vault),Fearless TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
Don't You (From the Vault),Fearless TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
Bye Bye Baby (From the Vault),Fearless TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
If This Was A Movie (Taylor's Version),Fearless TV,Ocupada,1,06-23,U.S. Bank Stadium Minneapolis MN USA,-93.2576224232795,44.97372679495538,null,null,null,null,null,null,null,null
Mine,Speak Now TV,Ocupada,1,05-07,Nissan Stadium Nashville TN USA,-86.77118825396796,36.16658318496833,null,null,null,null,null,null,null,null
Sparks Fly,Speak Now TV,Ocupada,1,05-05,Nissan Stadium Nashville TN USA,-86.77118825396796,36.16658318496833,null,null,null,null,null,null,null,null
Back To December,Speak Now TV,Ocupada,1,07-15,Empower Field at Mile High Denver CO USA,-105.02005450000006,39.74383687816774,null,null,null,null,null,null,null,null
Speak Now,Speak Now TV,Ocupada,1,04-13,Raymond James Stadium Tampa FL USA,-82.50332254232848, 27.97586566292746,null,null,null,null,null,null,null,null
Dear John,Speak Now TV,Ocupada,1,06-24,U.S. Bank Stadium Minneapolis MN USA,-93.2576224232795,44.97372679495538,null,null,null,null,null,null,null,null
Mean,Speak Now TV,Ocupada,1,04-15,Raymond James Stadium Tampa FL USA,-82.50332254232848, 27.97586566292746,null,null,null,null,null,null,null,null
The Story Of Us,Speak Now TV,Ocupada,1,06-17,Acrisure Stadium Pittsburgh PA USA,-80.01556896560628,40.44660677582141,null,null,null,null,null,null,null,null
Never Grow Up ,Speak Now TV,Ocupada,1,07-07,Arrowhead Stadium Kansas City MO USA,-94.48381597969887,39.04883384549203,null,null,null,null,null,null,null,null
Enchanted ,Speak Now TV,Setlist,,03-17,State Farm Stadium Glendale AZ USA,null,null,null,null,null,null,null,null,null,null
Better Than Revenge,Speak Now TV,Ocupada,1,11-12,Estadio River Plate Buenos Aires Argentina,-58.44976791067701,-34.545347102438214,null,null,null,null,null,null,null,null
Innocent,Speak Now TV,Ocupada,1,11-24,Estadio Allianz Parque São Paulo Brasil,-46.678525415344126,-23.527590429244412,null,null,null,null,null,null,null,null
Haunted,Speak Now TV,Ocupada,1,06-09,Ford Field Detroit MI USA,-83.04544406745778,42.3399749651698,null,null,null,null,null,null,null,null
Last Kiss,Speak Now TV,Ocupada,1,07-08,Arrowhead Stadium Kansas City MO USA,-94.48381597969887,39.04883384549203,null,null,null,null,null,null,null,null
Long Live,Speak Now TV,Setlist,,03-17,State Farm Stadium Glendale AZ USA,null,null,null,null,null,null,null,null,null,null
Ours,Speak Now TV,Ocupada,1,03-31,AT&T Stadium Arlington TX USA,-97.09265501719679,32.74788153537773,null,null,null,null,null,null,null,null
Superman,Speak Now TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
Electric Touch (feat. Fall Out Boy) (From the Vault),Speak Now TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
When Emma Falls in Love (From the Vault),Speak Now TV,Ocupada,1,07-07,Arrowhead Stadium Kansas City MO USA,-94.48381597969887,39.04883384549203,null,null,null,null,null,null,null,null
I Can See You (From the Vault),Speak Now TV,Ocupada,1,08-03,SoFi Stadium Los Angeles CA USA,-118.3389436892382,33.953274872376625,null,null,null,null,null,null,null,null
Castles Crumbling (feat.Hayley Williams) (From the Vault),Speak Now TV,Ocupada,1,07-28,Levi's Stadium Santa Clara CA USA,-121.969823126984,37.40326521584193,null,null,null,null,null,null,null,null
Foolish One (From the Vault),Speak Now TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
Timeless (From the Vault),Speak Now TV,Ocupada,1,07-14,Empower Field at Mile High Denver CO USA,-105.02005450000006,39.74383687816774,null,null,null,null,null,null,null,null
State of Grace,Red TV,Ocupada,1,03-18,State Farm Stadium Glendale AZ USA,-112.26256565900226,33.527876978609626,null,null,null,null,null,null,null,null
Red,Red TV,Ocupada,1,05-21,Gillette Stadium Foxborough MA USA,-71.26434789814675,42.09107628759776,null,null,null,null,null,null,null,null
Treacherous,Red TV,Ocupada,1,04-13,Raymond James Stadium Tampa FL USA,-82.50332254232848, 27.97586566292746,null,null,null,null,null,null,null,null
I Knew You Were Trouble,Red TV,Setlist,,03-17,State Farm Stadium Glendale AZ USA,null,null,null,null,null,null,null,null,null,null
All to Well,Red TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
22,Red TV,Setlist,,03-17,State Farm Stadium Glendale AZ USA,null,null,null,null,null,null,null,null,null,null
I Almost Do,Red TV,Ocupada,1,06-09,Ford Field Detroit MI USA,-83.04544406745778,42.3399749651698,null,null,null,null,null,null,null,null
We Are Never Ever Getting Back Together,Red TV,Setlist,,03-17,State Farm Stadium Glendale AZ USA,null,null,null,null,null,null,null,null,null,null
Stay Stay Stay,Red TV,Ocupada,1,07-29,Levi's Stadium Santa Clara CA USA,-121.969823126984,37.40326521584193,null,null,null,null,null,null,null,null
The Last Time (feat. Gary Lightbody),Red TV,Ocupada,1,06-16,Acrisure Stadium Pittsburgh PA USA,-80.01556896560628,40.44660677582141,null,null,null,null,null,null,null,null
Holy Ground,Red TV,Ocupada,1,05-27,MetLife Stadium East Rutherford NJ USA,-74.07434260052499,40.813710580187376,null,null,null,null,null,null,null,null
Sad Beautiful Tragic,Red TV,Ocupada,1,03-31,AT&T Stadium Arlington TX USA,-97.09265501719679,32.74788153537773,null,null,null,null,null,null,null,null
The Lucky One,Red TV,Ocupada,1,04-02,AT&T Stadium Arlington TX USA,-97.09265501719679,32.74788153537773,null,null,null,null,null,null,null,null
Everything Has Changed (feat. Ed Sheeran),Red TV,Ocupada,1,07-22,Lumen Field Seattle WA USA,-122.32964978042607,47.739335607595535,null,null,null,null,null,null,null,null
Starlight ,Red TV,Ocupada,1,07-15,Empower Field at Mile High Denver CO USA,-105.02005450000006,39.74383687816774,null,null,null,null,null,null,null,null
Begin Again,Red TV,Ocupada,1,04-23,NGR Stadium Houston TX USA,-95.40592071527006, 29.681241296536044,null,null,null,null,null,null,null,null
The Moment I Knew,Red TV,Ocupada,1,06-04,Soldier Field Chicago IL USA,-87.61671972883586,41.8624806117686,null,null,null,null,null,null,null,null
Come Back… Be Here,Red TV,Ocupada,1,05-12,Lincoln Financial Field Phuladelphia PA USA,-75.16735629629618,39.90086100056422,null,null,null,null,null,null,null,null
Girl At Home,Red TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
Ronan,Red TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
Better Man (From the Vault),Red TV,Ocupada,1,05-19,Gillette Stadium Foxborough MA USA,-71.26434789814675,42.09107628759776,null,null,null,null,null,null,null,null
Nothing New (feat. Phoebe Bridgers) (From the Vault) ,Red TV,Setlist,,03-17,State Farm Stadium Glendale AZ USA,null,null,null,null,null,null,null,null,null,null
Babe (From the Vault),Red TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
Message In A Bottle (From the Vault),Red TV,Ocupada,1,07-22,Lumen Field Seattle WA USA,-122.32964978042607,47.739335607595535,null,null,null,null,null,null,null,null
I Bet You Think About Me (feat. Chris Stapleton) (From the Vault),Red TV,Ocupada,1,04-30,Mercedes-Benz Stadium Atlanta GA USA,-84.40076948280304,33.75534598096225,null,null,null,null,null,null,null,null
Forever Winter (From the Vault),Red TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
Run (feat. Ed Sheeran) (From the Vault),Red TV,Libre,null,null,null,null,null,null,null,null,null,null,null,null,null
The Very First Night (From the Vault),Red TV,Ocupada,1,11-09,Estadio River Plate Buenos Aires Argentina,-58.44976791067701,-34.545347102438214,null,null,null,null,null,null,null,null
All To Well (10 Minute Version) (From the Vault),Red TV,Setlist,,03-17,State Farm Stadium Glendale AZ USA,null,null,null,null,null,null,null,null,null,null
Welcome To New York,1989TV,Ocupada,1,05-28,MetLife Stadium East Rutherford NJ USA,-74.07434260052499,40.813710580187376,null,null,null,null,null,null,null,null
Blanck Space,1989TV,Setlist,,03-17,State Farm Stadium Glendale AZ USA,null,null,null,null,null,null,null,null,null,null
Style,1989TV,Setlist,,03-17,State Farm Stadium Glendale AZ USA,null,null,null,null,null,null,null,null,null,null
Out Of The Woods,1989TV,Ocupada,1,05-06,Nissan Stadium Nashville TN USA,-86.77118825396796,36.16658318496833,null,null,null,null,null,null,null,null
All You Had To Do Was Stay,1989TV,Ocupada,1,06-10,Ford Field Detroit MI USA,-83.04544406745778,42.3399749651698,null,null,null,null,null,null,null,null
Shake It Off,1989TV,Setlist,,03-17,State Farm Stadium Glendale AZ USA,null,null,null,null,null,null,null,null,null,null
I Wish You Would,1989TV,Ocupada,1,06-02,Soldier Field Chicago IL USA,-87.61671972883586,41.8624806117686,null,null,null,null,null,null,null,null
Bad Blood,1989TV,Setlist,,03-17,State Farm Stadium Glendale AZ USA,null,null,null,null,null,null,null,null,null,null
Wildest Dreams,1989TV,Setlist,,03-17,State Farm Stadium Glendale AZ USA,null,null,null,null,null,null,null,null,null,null
